3808163,44126,1639,3,11.00,11771.32,0.10,0.05,N,O,1997-01-04,1997-01-03,1997-01-24,NONE,TRUCK,heodolites. quickly final theo
342439,195540,5541,1,22.00,35981.88,0.10,0.08,N,O,1997-01-04,1996-12-10,1997-01-17,TAKE BACK RETURN,REG AIR,the furiously unusual i
1585632,102631,5142,1,42.00,68612.46,0.03,0.01,N,O,1997-01-15,1997-01-24,1997-02-11,DELIVER IN PERSON,REG AIR,ithely ironic requests affix carefully
3436199,142933,2934,1,29.00,57301.97,0.03,0.03,N,O,1997-01-15,1997-01-12,1997-02-05,DELIVER IN PERSON,SHIP,slyly blithe
1264579,148796,6339,1,12.00,22137.48,0.04,0.05,N,O,1997-01-26,1997-01-17,1997-02-13,COLLECT COD,SHIP,ts. quickly fi
3436740,8406,5907,3,6.00,7886.40,0.06,0.05,N,O,1997-01-26,1997-03-18,1997-01-27,COLLECT COD,REG AIR,foxes detect blith
3679970,136329,6330,4,48.00,65535.36,0.05,0.02,N,O,1997-02-05,1996-12-29,1997-02-25,TAKE BACK RETURN,AIR,uests wake regular asymptotes. bold platel
1481573,85897,3422,5,26.00,48955.14,0.08,0.03,N,O,1997-02-05,1996-12-21,1997-02-13,DELIVER IN PERSON,AIR,ong the regular requests cajole
2986470,62895,7908,4,1.00,1857.89,0.00,0.00,N,O,1997-02-16,1997-02-15,1997-02-21,TAKE BACK RETURN,TRUCK,"the bold, final id"
62080,79732,7254,1,1.00,1711.73,0.09,0.04,N,O,1997-02-16,1997-03-17,1997-02-19,TAKE BACK RETURN,REG AIR,haggle slyly above th
4058181,115597,3131,5,27.00,43539.93,0.09,0.07,N,O,1997-02-27,1996-12-12,1997-03-02,COLLECT COD,RAIL,"according to the unusual, unusual frays."
50528,143433,976,3,40.00,59057.20,0.05,0.07,N,O,1997-02-27,1997-02-04,1997-03-13,TAKE BACK RETURN,AIR,ckages haggle car
572869,186811,6812,6,44.00,83503.64,0.08,0.01,N,O,1997-03-06,1997-04-09,1997-03-22,NONE,FOB,he fluffily daring dependencies sublate fu
1902117,173859,1411,4,29.00,56052.65,0.05,0.00,N,O,1997-03-06,1996-12-10,1997-03-07,DELIVER IN PERSON,AIR,arefully. regular requests los
5975424,194034,1592,3,32.00,36096.96,0.07,0.01,N,O,1997-03-17,1997-04-07,1997-03-29,COLLECT COD,REG AIR,he furiously bold foxes. s
4512544,88370,8371,5,20.00,27167.40,0.00,0.07,N,O,1997-03-17,1997-02-23,1997-03-27,TAKE BACK RETURN,SHIP,deposits across the even pinto b
3503649,25183,188,5,32.00,35461.76,0.09,0.00,N,O,1997-03-20,1997-04-18,1997-03-31,COLLECT COD,REG AIR,etect furiously. reques
4312643,186325,3880,2,49.00,69154.68,0.00,0.02,N,O,1997-03-20,1997-05-09,1997-03-22,NONE,SHIP,eposits. packages are f
632740,17804,306,2,37.00,63706.60,0.06,0.05,N,O,1997-03-28,1997-04-06,1997-04-16,NONE,FOB,posits sleep idly after the ca
4199968,76724,4246,2,41.00,69729.52,0.00,0.03,N,O,1997-03-28,1997-03-02,1997-04-14,COLLECT COD,AIR,gly silent theodolites engage against th
1227014,108635,3656,1,21.00,34516.23,0.07,0.01,N,O,1997-03-31,1997-05-28,1997-04-09,DELIVER IN PERSON,TRUCK,ites. accounts wake car
1371296,187997,3034,5,31.00,64634.69,0.00,0.07,N,O,1997-03-31,1997-06-15,1997-04-28,DELIVER IN PERSON,MAIL,nts are about the re
4439555,189999,2518,1,28.00,58491.72,0.00,0.08,N,O,1997-04-07,1997-03-09,1997-04-29,DELIVER IN PERSON,AIR,mptotes; fluffily iro
2284612,93620,8639,1,26.00,41954.12,0.05,0.01,N,O,1997-04-07,1997-03-15,1997-04-24,COLLECT COD,SHIP,cajole furiousl
5850210,122995,8020,4,10.00,20179.90,0.01,0.08,N,O,1997-04-10,1997-05-14,1997-05-05,NONE,SHIP,carefully silent excu
1504930,58256,8257,1,23.00,27927.75,0.04,0.06,N,O,1997-04-10,1997-06-07,1997-04-20,TAKE BACK RETURN,REG AIR,express accounts. unusual instructions
4244035,63945,1464,1,36.00,68721.84,0.06,0.03,N,O,1997-04-18,1997-03-29,1997-05-06,DELIVER IN PERSON,TRUCK,the blithely regular theodolites.
2447558,48930,6443,5,22.00,41336.46,0.04,0.06,N,O,1997-04-18,1997-03-31,1997-04-27,COLLECT COD,SHIP,e always; quickly final f
3183552,157699,7700,4,36.00,63240.84,0.01,0.07,N,O,1997-04-21,1997-05-09,1997-05-15,TAKE BACK RETURN,AIR,ic theodolites use among the ca
286499,48994,6507,4,28.00,54403.72,0.04,0.00,N,O,1997-04-21,1997-04-14,1997-05-21,TAKE BACK RETURN,SHIP,carefully ironic
1235012,101609,4120,5,10.00,16106.00,0.09,0.05,N,O,1997-04-29,1997-04-06,1997-05-22,COLLECT COD,TRUCK,hinder furiously. speci
913440,114418,4419,2,35.00,50134.35,0.06,0.03,N,O,1997-04-29,1997-06-09,1997-05-05,TAKE BACK RETURN,AIR,nusual instructions. ironic i
